Country,City,Exec_Date,type,Today,Tomorrow,2-days,3-days,4-days,5-days,6-days
Afghanistan,Kabul,4/24/2024,max,22.66300011,20.36300087,18.06299973,13.96299934,12.11299992,15.41299915,17.86300087
Afghanistan,Kabul,4/24/2024,min,7.663000107,10.41299915,10.56299973,6.413000107,5.712999821,5.413000107,5.263000011
Afghanistan,Kabul,4/24/2024,avg,15.16300011,15.38800001,14.31299973,10.18799973,8.912999868,10.41299963,11.56300044
Afghanistan,Kabul,4/25/2024,max,21.96300125,19.31299973,14.56299973,15.56299973,12.16299915,15.26299953,18.26300049
Afghanistan,Kabul,4/25/2024,min,10.06299973,9.812999725,7.462999821,8.062999725,5.212999821,3.963000059,4.013000011
Afghanistan,Kabul,4/25/2024,avg,16.01300049,14.56299973,11.01299977,11.81299973,8.687999487,9.612999797,11.13800025
Afghanistan,Kabul,4/26/2024,max,19.66300011,14.56299973,13.81299973,12.56299973,12.81299973,18.16300011,19.96300125
Afghanistan,Kabul,4/26/2024,min,10.11299992,7.513000011,7.413000107,5.813000202,3.862999916,3.663000107,5.612999916
Afghanistan,Kabul,4/26/2024,avg,14.88800001,11.03799987,10.61299992,9.187999964,8.337999821,10.91300011,12.78800058
Afghanistan,Kabul,4/27/2024,max,14.61299992,12.71299934,12.76299953,13.41299915,20.16300011,22.61300087,20.76300049
Afghanistan,Kabul,4/27/2024,min,8.112999916,8.012999535,5.013000011,4.063000202,4.362999916,6.612999916,8.612999916
Afghanistan,Kabul,4/27/2024,avg,11.36299992,10.36299944,8.887999773,8.737999678,12.26300001,14.61300039,14.6880002
Afghanistan,Kabul,4/28/2024,max,15.41299915,13.21299934,12.01299953,19.46300125,23.26300049,19.16300011,13.81299973
Afghanistan,Kabul,4/28/2024,min,7.413000107,6.813000202,4.462999821,4.212999821,6.263000011,10.06299973,10.56299973
Afghanistan,Kabul,4/28/2024,avg,11.41299963,10.01299977,8.237999678,11.83800054,14.76300025,14.61299992,12.18799973
Afghanistan,Kabul,4/29/2024,max,13.76299953,14.36299992,18.86300087,22.56299973,19.16300011,17.41300011,21.96300125
Afghanistan,Kabul,4/29/2024,min,5.763000011,4.362999916,4.362999916,5.913000107,9.412999153,10.16299915,9.512999535
Afghanistan,Kabul,4/29/2024,avg,9.762999773,9.362999916,11.61300039,14.23799992,14.28799963,13.78799963,15.73800039
Afghanistan,Kabul,4/30/2024,max,14.71299934,19.26300049,22.16300011,17.36300087,14.36299992,19.61300087,23.66300011
Afghanistan,Kabul,4/30/2024,min,4.563000202,4.413000107,5.913000107,8.562999725,10.96299934,9.462999344,9.612999916
Afghanistan,Kabul,4/30/2024,avg,9.637999773,11.8380003,14.03800011,12.9630003,12.66299963,14.53800011,16.63800001
Afghanistan,Kabul,5/1/2024,max,18.71300125,22.01300049,16.16300011,14.96299934,20.66300011,23.51300049,24.51300049
Afghanistan,Kabul,5/1/2024,min,4.413000107,6.362999916,10.61299992,10.71299934,10.26299953,10.21299934,9.862999916
Afghanistan,Kabul,5/1/2024,avg,11.56300068,14.1880002,13.38800001,12.83799934,15.46299982,16.86299992,17.1880002
Afghanistan,Kabul,5/2/2024,max,22.26300049,14.96299934,13.46299934,20.61300087,23.36300087,25.01300049,25.96300125
